rating,rating_count,review_title,review_content,review,score,clean_review,sentiment
4.2,24269,"Satisfied,Charging is really fast,Value for money,Product review,Good quality,Good product,Good Product,As of now seems good","Looks durable Charging is fine tooNo complains,Charging is really fast, good product.,Till now satisfied with the quality.,This is a good product . The charging speed is slower than the original iPhone cable,Good quality, would recommend,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/81---F1ZgHL._SY88.jpg,Product had worked well till date and was having no issue.Cable is also sturdy enough...Have asked for replacement and company is doing the same...,Value for money",satisfiedcharging is really fastvalue for moneyproduct reviewgood qualitygood productgood productas of now seems good looks durable charging is fine toono complainscharging is really fast good producttill now satisfied with the qualitythis is a good product the charging speed is slower than the original iphone cablegood quality would recommend had worked well till date and was having no issuecable is also sturdy enoughhave asked for replacement and company is doing the samevalue for money,8.4,satisfiedcharg realli fastvalu moneyproduct reviewgood qualitygood productgood producta seem good look durabl charg fine toono complainscharg realli fast good producttil satisfi qualitythi good product charg speed slower origin iphon cablegood qualiti would recommend work well till date issuec also sturdi enoughhav ask replac compani samevalu money,Positive
4.0,43994,"A Good Braided Cable for Your Type C Device,Good quality product from ambrane,Super cable,As,Good quality,Good product,its good,Good quality for the price but one issue with my unit","I ordered this cable to connect my phone to Android Auto of car. The cable is really strong and the connection ports are really well made. I already has a Micro USB cable from Ambrane and it's still in good shape. I connected my phone to the car using the cable and it got connected well and no issues. I also connected it to the charging port and yes it has Fast Charging support.,It quality is good at this price and the main thing is that i didn't ever thought that this cable will be so long it's good one and charging power is too good and also supports fast charging,Value for money, with extra lengthðŸ‘,Good, working fine,Product quality is good,Good,very good,Bought for my daughter's old phone.Brand new cable it was not charging, I already repacked and requested for replacement.I checked again, and there was some green colour paste/fungus inside the micro USB connector. I cleaned with an alcoholic and starts working again.Checked the ampere of charging speed got around 1400ma-1500ma - not bad, came with braided 1.5m long cable, pretty impressive for the price.Can't blame the manufacturer.But quality issues by the distributor, they might have stored in very humid place.",a good braided cable for your type c devicegood quality product from ambranesuper cableasgood qualitygood productits goodgood quality for the price but one issue with my unit i ordered this cable to connect my phone to android auto of car the cable is really strong and the connection ports are really well made i already has a micro usb cable from ambrane and its still in good shape i connected my phone to the car using the cable and it got connected well and no issues i also connected it to the charging port and yes it has fast charging supportit quality is good at this price and the main thing is that i didnt ever thought that this cable will be so long its good one and charging power is too good and also supports fast chargingvalue for money with extra lengthgood working fineproduct quality is goodgoodvery goodbought for my daughters old phonebrand new cable it was not charging i already repacked and requested for replacementi checked again and there was some green colour pastefungus inside the micro usb connector i cleaned with an alcoholic and starts working againchecked the ampere of charging speed got around mama not bad came with braided m long cable pretty impressive for the pricecant blame the manufacturerbut quality issues by the distributor they might have stored in very humid place,8.0,good braid cabl type c devicegood qualiti product ambranesup cableasgood qualitygood productit goodgood qualiti price one issu unit order cabl connect phone android auto car cabl realli strong connect port realli well made alreadi micro usb cabl ambran still good shape connect phone car use cabl got connect well issu also connect charg port ye fast charg supportit qualiti good price main thing didnt ever thought cabl long good one charg power good also support fast chargingvalu money extra lengthgood work fineproduct qualiti goodgoodveri goodbought daughter old phonebrand new cabl charg alreadi repack request replacementi check green colour pastefungu insid micro usb connector clean alcohol start work againcheck amper charg speed got around mama bad came braid long cabl pretti impress pricec blame manufacturerbut qualiti issu distributor might store humid place,Positive
3.9,7928,"Good speed for earlier versions,Good Product,Working good,Good for the price,Good,Worth for money,Working nice,it's a really nice product","Not quite durable and sturdy,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/71rIggrbUCL._SY88.jpg,Working good,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/61bKp9YO6wL._SY88.jpg,Product,Very nice product,Working well,It's a really nice product",good speed for earlier versionsgood productworking goodgood for the pricegoodworth for moneyworking niceits a really nice product not quite durable and sturdy good nice productworking wellits a really nice product,7.8,good speed earlier versionsgood productwork goodgood pricegoodworth moneywork niceit realli nice product quit durabl sturdi good nice productwork wellit realli nice product,Negative
4.2,94363,"Good product,Good one,Nice,Really nice product,Very first time change,Good,Fine product but could be better,Very nice it's charging like jet","Good product,long wire,Charges good,Nice,I bought this cable for Rs.339 worthy product for this price, i tested it in various charger adapters 33w and 18w it supports fast charging as well.,Good,Ok,I had got this at good price on sale on Amazon and product is useful with warranty but for warranty you need to go very far not practical for such a cost and mine micro to type c connector stopped working after few days only.,I like this product",good productgood onenicereally nice productvery first time changegoodfine product but could be bettervery nice its charging like jet good productlong wirecharges goodnicei bought this cable for rs worthy product for this price i tested it in various charger adapters w and w it supports fast charging as wellgoodoki had got this at good price on sale on amazon and product is useful with warranty but for warranty you need to go very far not practical for such a cost and mine micro to type c connector stopped working after few days onlyi like this product,8.4,good productgood onenicer nice productveri first time changegoodfin product could betterveri nice charg like jet good productlong wirecharg goodnicei bought cabl rs worthi product price test variou charger adapt w w support fast charg wellgoodoki got good price sale amazon product use warranti warranti need go far practic cost mine micro type c connector stop work day onlyi like product,Positive
4.2,16905,"As good as original,Decent,Good one for secondary use,Best quality,GOOD,Amazing product at a mind blowing price!,Nice Quality,Good product","Bought this instead of original apple, does the work for 150rs, not as fast as apple charger but its a good option if you want cheap and good product, bought it for iPad pro 10.5 and it's working flawlessly, build quality is ok, its not like i am gonna hang my clothes on it and i want a very strong cable, even a braided cable stop working after a year, i have used both Anker and Apple store strong braided cable they all stop working after a year so please don't buy high end cables just for that instead choose a this one and even if it's stops working withing a year you only loose 150rs compares to 2000rs.UPDATE------------------------------------pin has stopped charging from one side, now i have to slip the pin to charge from other side, but i will update and let know for how long does it work,,Itâ€™s good. Not sure about durability as the pin area feels a bit fragile,Does not support apple carplaySo was little disappointed about thatOther than that cable is made up of very good quality,Best to buy,100% NOT FATHFUL,Writing this review post 10 months and 3 orders of the same product.Honestly Portronics Konnect L lightning cable works like magic with the original Apple charging brick.Seeing the price of the cable I initially hesitated buying as it was as low as â‚¹99/- with the offers and so I wasnâ€™t sure if it would work well with my iPhone 12 or whether it would impact my iPhoneâ€™s battery health because all the other lightning cable brands were costing over â‚¹350/- like Wayona, Amazon Basics, etc.Earlier I was using Wayona Brand lightning cable with eventually frayed and stopped working.Charging Speed:Charges my iPhone fast enough almost similar compared to the original cable level when used with 12W Original Apple power adapter.Quality and Durability:Great quality braided cable and doesnâ€™t tangle easily and can withstand day-to-day usage.L-Shaped pin:This is very innovative by Portronics and it makes sure the cable doesnâ€™t get damaged even if used while charging.CarPlay and Data Sync:Works smoothly with CarPlay and syncs data effortlessly.PS: I have used this cable only with the Original Apple Charging Brick and extremely satisfied with its performance.,Better than I expect the product I like that Quality and I plan to buy same type cable come with usb C to Lighting cable for emergency purpose that much I love this cable. Buy for this cable only emergency uses only since Good one,Good product and value for money",as good as originaldecentgood one for secondary usebest qualitygoodamazing product at a mind blowing pricenice qualitygood product bought this instead of original apple does the work for rs not as fast as apple charger but its a good option if you want cheap and good product bought it for ipad pro and its working flawlessly build quality is ok its not like i am gonna hang my clothes on it and i want a very strong cable even a braided cable stop working after a year i have used both anker and apple store strong braided cable they all stop working after a year so please dont buy high end cables just for that instead choose a this one and even if its stops working withing a year you only loose rs compares to rsupdatepin has stopped charging from one side now i have to slip the pin to charge from other side but i will update and let know for how long does it workits good not sure about durability as the pin area feels a bit fragiledoes not support apple carplayso was little disappointed about thatother than that cable is made up of very good qualitybest to buy not fathfulwriting this review post months and orders of the same producthonestly portronics konnect l lightning cable works like magic with the original apple charging brickseeing the price of the cable i initially hesitated buying as it was as low as with the offers and so i wasnt sure if it would work well with my iphone or whether it would impact my iphones battery health because all the other lightning cable brands were costing over like wayona amazon basics etcearlier i was using wayona brand lightning cable with eventually frayed and stopped workingcharging speedcharges my iphone fast enough almost similar compared to the original cable level when used with w original apple power adapterquality and durabilitygreat quality braided cable and doesnt tangle easily and can withstand daytoday usagelshaped pinthis is very innovative by portronics and it makes sure the cable doesnt get damaged even if used while chargingcarplay and data syncworks smoothly with carplay and syncs data effortlesslyps i have used this cable only with the original apple charging brick and extremely satisfied with its performancebetter than i expect the product i like that quality and i plan to buy same type cable come with usb c to lighting cable for emergency purpose that much i love this cable buy for this cable only emergency uses only since good onegood product and value for money,8.4,good originaldecentgood one secondari usebest qualitygoodamaz product mind blow pricenic qualitygood product bought instead origin appl work rs fast appl charger good option want cheap good product bought ipad pro work flawlessli build qualiti ok like gonna hang cloth want strong cabl even braid cabl stop work year use anker appl store strong braid cabl stop work year pleas dont buy high end cabl instead choos one even stop work with year loos rs compar rsupdatepin stop charg one side slip pin charg side updat let know long workit good sure durabl pin area feel bit fragiledo support appl carplayso littl disappoint thatoth cabl made good qualitybest buy fathfulwrit review post month order producthonestli portron konnect l lightn cabl work like magic origin appl charg brickse price cabl initi hesit buy low offer wasnt sure would work well iphon whether would impact iphon batteri health lightn cabl brand cost like wayona amazon basic etcearli use wayona brand lightn cabl eventu fray stop workingcharg speedcharg iphon fast enough almost similar compar origin cabl level use w origin appl power adapterqu durabilitygreat qualiti braid cabl doesnt tangl easili withstand daytoday usagelshap pinthi innov portron make sure cabl doesnt get damag even use chargingcarplay data syncwork smoothli carplay sync data effortlesslyp use cabl origin appl charg brick extrem satisfi performancebett expect product like qualiti plan buy type cabl come usb c light cabl emerg purpos much love cabl buy cabl emerg use sinc good onegood product valu money,Positive
3.9,24871,"It's pretty good,Average quality,very good and useful usb cable,Good USB cable. My experience was very good it is long lasting,Good,Nice product and useful,-,Sturdy but does not support 33w charging","It's a good product.,Like,Very good item strong and useful USB cableValue for moneyThanks to amazon and producer,https://m.media-amazon.com/images/I/51112ZRE-1L._SY88.jpg,Good,Nice product and useful product,-,Sturdy but does not support 33w charging",its pretty goodaverage qualityvery good and useful usb cablegood usb cable my experience was very good it is long lastinggoodnice product and usefulsturdy but does not support w charging its a good productlikevery good item strong and useful usb cablevalue for moneythanks to amazon and producer product and useful productsturdy but does not support w charging,7.8,pretti goodaverag qualityveri good use usb cablegood usb cabl experi good long lastinggoodnic product usefulsturdi support w charg good productlikeveri good item strong use usb cablevalu moneythank amazon produc product use productsturdi support w charg,Negative
4.1,15188,"Long durable.,good,Does not charge Lenovo m8 tab,Best charging cable,good,Boat,Product was good,1.5 m à¤•à¤¾ à¤•à¥‡à¤¬à¤² à¤®à¥‡à¤°à¥‡ à¤²à¤¿à¤ à¤¬à¤¹à¥à¤¤ à¤¹à¥€ à¤²à¤¾à¤­à¤¦à¤¾à¤¯à¤• à¤¹à¥ˆ à¥¤","Build quality is good and it is comes with 2 year warranty.,Good Product,Bought it for charging my mobile & tab but it doesn't work for Lenovo m8 tab,Guys this cable is is best compare of everyone over heat protection, quickly charging, but chance to shock circuit,good,Nice,Good quality,1.5à¤à¤® à¤•à¤¾ à¤¡à¤¾à¤Ÿà¤¾ à¤•à¥‡à¤¬à¤² à¤®à¥‡à¤°à¥‡ à¤²à¤¿à¤ à¤¬à¤¹à¥à¤¤ à¤¹à¥€ à¤²à¤¾à¤­à¤¦à¤¾à¤¯à¤• à¤¹à¥ˆ à¥¤  à¤®à¥ˆà¤‚ à¤‡à¤¸ à¤•à¥‡à¤¬à¤² à¤•à¥‹ à¤²à¤¾à¤‡à¤¨ à¤®à¥‡à¤‚ à¤šà¤¾à¤°à¥à¤œ à¤•à¤°à¤¤à¥‡ à¤¸à¤®à¤¯ à¤«à¥‹à¤¨ à¤¬à¤¹à¥à¤¤ à¤†à¤°à¤¾à¤® à¤¸à¥‡ à¤‰à¤ªà¤¯à¥‹à¤—  à¤•à¤° à¤ªà¤¾ à¤°à¤¹à¤¾ à¤¹à¥ à¥¤ à¤†à¤ª à¤‡à¤¸ à¤•à¥‡à¤¬à¤² à¤¸à¥‡ 15watt à¤•à¤¾  à¤šà¤¾à¤°à¥à¤œà¤° à¤‰à¤¸à¥‡ à¤•à¤° à¤¸à¤•à¤¤à¥‡ à¤¹à¥ˆ (à¤‡à¤¸à¤¸à¥‡ à¤œà¤¡à¤¼à¤¾ à¤¨à¤¹à¥€) à¥¤ à¤²à¥‹à¤•à¤² à¤¬à¤¾à¤œà¤¾à¤° à¤®à¥‡à¤‚ à¤‡à¤¸à¤•à¤¾ à¤¦à¤¾à¤® 150 à¤¹à¥ˆ ,  à¤…à¤®à¥‡à¤œà¤¨ à¤ªà¥‡ à¤¯à¥‡ à¤•à¥‡à¤¬à¤² à¤®à¥à¤à¥‡ 67 à¤®à¥‡à¤‚ à¤®à¤¿à¤²à¤¾ à¥¤ à¤—à¤°à¥à¤µ à¤¸à¥‡ à¤•à¤¹à¥‹ à¤¹à¤® à¤¹à¤¿à¤‚à¤¦à¥‚ à¤¹à¥ˆ , à¤œà¤¯ à¤¹à¤¿à¤‚à¤¦ à¤œà¤¯ à¤­à¤¾à¤°à¤¤ ,",long durablegooddoes not charge lenovo m tabbest charging cablegoodboatproduct was good m build quality is good and it is comes with year warrantygood productbought it for charging my mobile tab but it doesnt work for lenovo m tabguys this cable is is best compare of everyone over heat protection quickly charging but chance to shock circuitgoodnicegood quality watt,8.2,long durablegooddo charg lenovo tabbest charg cablegoodboatproduct good build qualiti good come year warrantygood productbought charg mobil tab doesnt work lenovo tabguy cabl best compar everyon heat protect quickli charg chanc shock circuitgoodnicegood qualiti watt,Positive
4.3,30411,"Worth for money - suitable for Android auto,Good Product,Length,Nice,Original,Very good quay Cable support fast charging.,Original MI cable for charging upto 33 watt,I am veri happy with this product as it provide turbo charging.","Worth for money - suitable for Android auto... my purpose served in car....got it for Rs.150,Everything is Okay. But packaging is not good feeling like seller gave is used cable.,Good product,Good product but cost is more.,Original cable,I bought this cable at 129. Using this cable for Android auto in my car. Perfectly works without any glitch.,Original MI cable. Will charge upto 33 watts. Got it for Rs 150.  I have 67 watt charger and I want a cable for my car so I went for it. I checked the performance with battery charging app. The charging speed is exactly half of my 67 watt original cable. Go for it.,It provided me turbo charging. I recommend for all Redmi note 10s mobile phones. As it provide turbo charging. I am veri happy with this product.",worth for money suitable for android autogood productlengthniceoriginalvery good quay cable support fast chargingoriginal mi cable for charging upto watti am veri happy with this product as it provide turbo charging worth for money suitable for android auto my purpose served in cargot it for rseverything is okay but packaging is not good feeling like seller gave is used cablegood productgood product but cost is moreoriginal cablei bought this cable at using this cable for android auto in my car perfectly works without any glitchoriginal mi cable will charge upto watts got it for rs i have watt charger and i want a cable for my car so i went for it i checked the performance with battery charging app the charging speed is exactly half of my watt original cable go for itit provided me turbo charging i recommend for all redmi note s mobile phones as it provide turbo charging i am veri happy with this product,8.6,worth money suitabl android autogood productlengthniceoriginalveri good quay cabl support fast chargingorigin mi cabl charg upto watti veri happi product provid turbo charg worth money suitabl android auto purpos serv cargot rseveryth okay packag good feel like seller gave use cablegood productgood product cost moreorigin cablei bought cabl use cabl android auto car perfectli work without glitchorigin mi cabl charg upto watt got rs watt charger want cabl car went check perform batteri charg app charg speed exactli half watt origin cabl go itit provid turbo charg recommend redmi note mobil phone provid turbo charg veri happi product,Positive
4.2,"1,79,691","Works on linux for me. Get the model with antenna.,Does what it say but other brands available at lesser price,Easy Handle,Great product,Perfect working,Speed is perfect,Great Design, Build, Connectivity Range, Packaging and other features but no linux support since v2,Very good","I use this to connect an old PC to internet. I tried lubuntu 20 and ubuntu 22, it worked out of the box in both, didn't have to do any setup. There's an extender cable so you can place this in a comfortable place. Get the model with antenna because otherwise you'll have range problems if you're not directly in line of sight from your wifi router.,The wifi dongle is a simple plug & play device, will start catching available networks right after you plug it into your USB port, no additional installations/ softwares requires. Signal strength is good.... just wonder what would be different in other adapters of lesser known brands which are available at a much more competitive pricing, hence a star less.,Pros:*Easy to use & Portable*Can be connected to Mobile Hotspot and used in PC( Budget Friendly)*Less installation process*No heating issues & Good Coverage*Best alternative for USB Tethering (phone's battery may get damaged for long term run with Tethering)Cons:*Internet connection speed varies at times, also depends on your modem or cellular connection*Issues occur while installing via CD, which is available along with the product( Installation driver can be downloaded from TP-Link site)*Needed to reconnect the adapter every time system is turned ON*Will not work if your software has some issues, so encountered any just update your system(worked for me)*Support Center is worse, calls are unattended most of the times or just visit nearby storeConclusion:Brought this @499/-Ideal for users who don't need very high speed internet usage,a good alternative for USB Tethering and are on Budge(1080p Youtube videos can be easily played with this without any interruptions),wifi connectivity is a great good result for me. however, some jitter problems did exist.,This is perfect device to connect wifi. Go for it.,This wifi adopter is good working,(Pictures attached)Size/Design:  â˜… â˜… â˜… â˜… â˜…Build Quality: â˜… â˜… â˜… â˜… â˜…Packaging:  â˜… â˜… â˜… â˜… â˜…Software:  â˜… â˜… â˜… â˜…Speed:  â˜… â˜… â˜… â˜… â˜…Connectivity:  â˜… â˜… â˜… â˜… â˜…Experience:  â˜… â˜… â˜… â˜… â˜…Warranty:  â˜… â˜… â˜… â˜… â˜…Size and Design:The best part about this is that it is very compact in size and very sober and elegant in design. This is a big plus as it is easy plug in and use, add to it the good sober design.Build Quality:The build quality is undoubtedly superb. Just no qualms about that, at all. When held, it doesnt give off that cheap and flimsy product-like feeling. It is good sturdy with its build quality.Packaging:This part is also a big plus as the item was well cushioned and packaged with all the necessary items that ensured that no damage could have been caused to the product during transportation. This ensures that I as a customer have received something not damaged internally already.Software:This is actually good but not great part with the product.The good part is that a CD has been provided with it along with a manual.The not great part is that NO LINUX SUPPORT has been given from Version 2 onwards. This is bad, really.Speed:It easily supports net speeds upto 300 Mbps. Practically speaking, I have tested it at my home and it easily supports net speed of over 100-150 Mbps without a sigh.On testing I found that it did connect to 5GHz network, without any issue.Connectivity:Please mark its not feet its metres. Multiply metres x 3 to get the distance in feet.It easily connects to my laptop or phone from 7 metres across one room. So thats 21 feet. I mean even our old bluetooth used to connect to about 15 ft.So 20-25 feet is not at all an issue with this. This is the big plus I found with the product.Experience:From this point of view, so far except the linux non-compatibility issue, I found no other flaws with this product.So overall its a great product.Warranty:Its 3 years so I am assured that atleast for 3 years I am tension-free and not just 1 year, contrary to most electronic items today that only provide 1 year warranty with their items.,Best adapter I have bought ever. Works nicely seemless connectivity",works on linux for me get the model with antennadoes what it say but other brands available at lesser priceeasy handlegreat productperfect workingspeed is perfectgreat design build connectivity range packaging and other features but no linux support since vvery good i use this to connect an old pc to internet i tried lubuntu and ubuntu it worked out of the box in both didnt have to do any setup theres an extender cable so you can place this in a comfortable place get the model with antenna because otherwise youll have range problems if youre not directly in line of sight from your wifi routerthe wifi dongle is a simple plug play device will start catching available networks right after you plug it into your usb port no additional installations softwares requires signal strength is good just wonder what would be different in other adapters of lesser known brands which are available at a much more competitive pricing hence a star lessproseasy to use portablecan be connected to mobile hotspot and used in pc budget friendlyless installation processno heating issues good coveragebest alternative for usb tethering phones battery may get damaged for long term run with tetheringconsinternet connection speed varies at times also depends on your modem or cellular connectionissues occur while installing via cd which is available along with the product installation driver can be downloaded from tplink siteneeded to reconnect the adapter every time system is turned onwill not work if your software has some issues so encountered any just update your systemworked for mesupport center is worse calls are unattended most of the times or just visit nearby storeconclusionbrought this ideal for users who dont need very high speed internet usagea good alternative for usb tethering and are on budgep youtube videos can be easily played with this without any interruptionswifi connectivity is a great good result for me however some jitter problems did existthis is perfect device to connect wifi go for itthis wifi adopter is good workingpictures attachedsizedesign build quality packaging software speed connectivity experience warranty size and designthe best part about this is that it is very compact in size and very sober and elegant in design this is a big plus as it is easy plug in and use add to it the good sober designbuild qualitythe build quality is undoubtedly superb just no qualms about that at all when held it doesnt give off that cheap and flimsy productlike feeling it is good sturdy with its build qualitypackagingthis part is also a big plus as the item was well cushioned and packaged with all the necessary items that ensured that no damage could have been caused to the product during transportation this ensures that i as a customer have received something not damaged internally alreadysoftwarethis is actually good but not great part with the productthe good part is that a cd has been provided with it along with a manualthe not great part is that no linux support has been given from version onwards this is bad reallyspeedit easily supports net speeds upto mbps practically speaking i have tested it at my home and it easily supports net speed of over mbps without a sighon testing i found that it did connect to ghz network without any issueconnectivityplease mark its not feet its metres multiply metres x to get the distance in feetit easily connects to my laptop or phone from metres across one room so thats feet i mean even our old bluetooth used to connect to about ftso feet is not at all an issue with this this is the big plus i found with the productexperiencefrom this point of view so far except the linux noncompatibility issue i found no other flaws with this productso overall its a great productwarrantyits years so i am assured that atleast for years i am tensionfree and not just year contrary to most electronic items today that only provide year warranty with their itemsbest adapter i have bought ever works nicely seemless connectivity,8.4,work linux get model antennado say brand avail lesser priceeasi handlegreat productperfect workingspe perfectgreat design build connect rang packag featur linux support sinc vveri good use connect old pc internet tri lubuntu ubuntu work box didnt setup there extend cabl place comfort place get model antenna otherwis youll rang problem your directli line sight wifi routerth wifi dongl simpl plug play devic start catch avail network right plug usb port addit instal softwar requir signal strength good wonder would differ adapt lesser known brand avail much competit price henc star lessproseasi use portablecan connect mobil hotspot use pc budget friendlyless instal processno heat issu good coveragebest altern usb tether phone batteri may get damag long term run tetheringconsinternet connect speed vari time also depend modem cellular connectionissu occur instal via cd avail along product instal driver download tplink siteneed reconnect adapt everi time system turn onwil work softwar issu encount updat systemwork mesupport center wors call unattend time visit nearbi storeconclusionbrought ideal user dont need high speed internet usagea good altern usb tether budgep youtub video easili play without interruptionswifi connect great good result howev jitter problem existthi perfect devic connect wifi go itthi wifi adopt good workingpictur attachedsizedesign build qualiti packag softwar speed connect experi warranti size designth best part compact size sober eleg design big plu easi plug use add good sober designbuild qualityth build qualiti undoubtedli superb qualm held doesnt give cheap flimsi productlik feel good sturdi build qualitypackagingthi part also big plu item well cushion packag necessari item ensur damag could caus product transport ensur custom receiv someth damag intern alreadysoftwarethi actual good great part productth good part cd provid along manualth great part linux support given version onward bad reallyspeedit easili support net speed upto mbp practic speak test home easili support net speed mbp without sighon test found connect ghz network without issueconnectivitypleas mark feet metr multipli metr x get distanc feetit easili connect laptop phone metr across one room that feet mean even old bluetooth use connect ftso feet issu big plu found productexperiencefrom point view far except linux noncompat issu found flaw productso overal great productwarrantyit year assur atleast year tensionfre year contrari electron item today provid year warranti itemsbest adapt bought ever work nice seemless connect,Positive
4.0,43994,"A Good Braided Cable for Your Type C Device,Good quality product from ambrane,Super cable,As,Good quality,Good product,its good,Good quality for the price but one issue with my unit","I ordered this cable to connect my phone to Android Auto of car. The cable is really strong and the connection ports are really well made. I already has a Micro USB cable from Ambrane and it's still in good shape. I connected my phone to the car using the cable and it got connected well and no issues. I also connected it to the charging port and yes it has Fast Charging support.,It quality is good at this price and the main thing is that i didn't ever thought that this cable will be so long it's good one and charging power is too good and also supports fast charging,Value for money, with extra lengthðŸ‘,Good, working fine,Product quality is good,Good,very good,Bought for my daughter's old phone.Brand new cable it was not charging, I already repacked and requested for replacement.I checked again, and there was some green colour paste/fungus inside the micro USB connector. I cleaned with an alcoholic and starts working again.Checked the ampere of charging speed got around 1400ma-1500ma - not bad, came with braided 1.5m long cable, pretty impressive for the price.Can't blame the manufacturer.But quality issues by the distributor, they might have stored in very humid place.",a good braided cable for your type c devicegood quality product from ambranesuper cableasgood qualitygood productits goodgood quality for the price but one issue with my unit i ordered this cable to connect my phone to android auto of car the cable is really strong and the connection ports are really well made i already has a micro usb cable from ambrane and its still in good shape i connected my phone to the car using the cable and it got connected well and no issues i also connected it to the charging port and yes it has fast charging supportit quality is good at this price and the main thing is that i didnt ever thought that this cable will be so long its good one and charging power is too good and also supports fast chargingvalue for money with extra lengthgood working fineproduct quality is goodgoodvery goodbought for my daughters old phonebrand new cable it was not charging i already repacked and requested for replacementi checked again and there was some green colour pastefungus inside the micro usb connector i cleaned with an alcoholic and starts working againchecked the ampere of charging speed got around mama not bad came with braided m long cable pretty impressive for the pricecant blame the manufacturerbut quality issues by the distributor they might have stored in very humid place,8.0,good braid cabl type c devicegood qualiti product ambranesup cableasgood qualitygood productit goodgood qualiti price one issu unit order cabl connect phone android auto car cabl realli strong connect port realli well made alreadi micro usb cabl ambran still good shape connect phone car use cabl got connect well issu also connect charg port ye fast charg supportit qualiti good price main thing didnt ever thought cabl long good one charg power good also support fast chargingvalu money extra lengthgood work fineproduct qualiti goodgoodveri goodbought daughter old phonebrand new cabl charg alreadi repack request replacementi check green colour pastefungu insid micro usb connector clean alcohol start work againcheck amper charg speed got around mama bad came braid long cabl pretti impress pricec blame manufacturerbut qualiti issu distributor might store humid place,Positive
