rating,clean_review,sentiment,rating_count
8.4,satisfiedcharg realli fastvalu moneyproduct reviewgood qualitygood productgood producta seem good look durabl charg fine toono complainscharg realli fast good producttil satisfi qualitythi good product charg speed slower origin iphon cablegood qualiti would recommend work well till date issuec also sturdi enoughhav ask replac compani samevalu money,Positive,24269
8,good braid cabl type c devicegood qualiti product ambranesup cableasgood qualitygood productit goodgood qualiti price one issu unit order cabl connect phone android auto car cabl realli strong connect port realli well made alreadi micro usb cabl ambran still good shape connect phone car use cabl got connect well issu also connect charg port ye fast charg supportit qualiti good price main thing didnt ever thought cabl long good one charg power good also support fast chargingvalu money extra lengthgood work fineproduct qualiti goodgoodveri goodbought daughter old phonebrand new cabl charg alreadi repack request replacementi check green colour pastefungu insid micro usb connector clean alcohol start work againcheck amper charg speed got around mama bad came braid long cabl pretti impress pricec blame manufacturerbut qualiti issu distributor might store humid place,Positive,43994
7.8,good speed earlier versionsgood productwork goodgood pricegoodworth moneywork niceit realli nice product quit durabl sturdi good nice productwork wellit realli nice product,Negative,7928
8.4,good productgood onenicer nice productveri first time changegoodfin product could betterveri nice charg like jet good productlong wirecharg goodnicei bought cabl rs worthi product price test variou charger adapt w w support fast charg wellgoodoki got good price sale amazon product use warranti warranti need go far practic cost mine micro type c connector stop work day onlyi like product,Positive,94363
8.4,good originaldecentgood one secondari usebest qualitygoodamaz product mind blow pricenic qualitygood product bought instead origin appl work rs fast appl charger good option want cheap good product bought ipad pro work flawlessli build qualiti ok like gonna hang cloth want strong cabl even braid cabl stop work year use anker appl store strong braid cabl stop work year pleas dont buy high end cabl instead choos one even stop work with year loos rs compar rsupdatepin stop charg one side slip pin charg side updat let know long workit good sure durabl pin area feel bit fragiledo support appl carplayso littl disappoint thatoth cabl made good qualitybest buy fathfulwrit review post month order producthonestli portron konnect l lightn cabl work like magic origin appl charg brickse price cabl initi hesit buy low offer wasnt sure would work well iphon whether would impact iphon batteri health lightn cabl brand cost like wayona amazon basic etcearli use wayona brand lightn cabl eventu fray stop workingcharg speedcharg iphon fast enough almost similar compar origin cabl level use w origin appl power adapterqu durabilitygreat qualiti braid cabl doesnt tangl easili withstand daytoday usagelshap pinthi innov portron make sure cabl doesnt get damag even use chargingcarplay data syncwork smoothli carplay sync data effortlesslyp use cabl origin appl charg brick extrem satisfi performancebett expect product like qualiti plan buy type cabl come usb c light cabl emerg purpos much love cabl buy cabl emerg use sinc good onegood product valu money,Positive,16905
7.8,pretti goodaverag qualityveri good use usb cablegood usb cabl experi good long lastinggoodnic product usefulsturdi support w charg good productlikeveri good item strong use usb cablevalu moneythank amazon produc product use productsturdi support w charg,Negative,24871
8.2,long durablegooddo charg lenovo tabbest charg cablegoodboatproduct good build qualiti good come year warrantygood productbought charg mobil tab doesnt work lenovo tabguy cabl best compar everyon heat protect quickli charg chanc shock circuitgoodnicegood qualiti watt,Positive,15188
8.6,worth money suitabl android autogood productlengthniceoriginalveri good quay cabl support fast chargingorigin mi cabl charg upto watti veri happi product provid turbo charg worth money suitabl android auto purpos serv cargot rseveryth okay packag good feel like seller gave use cablegood productgood product cost moreorigin cablei bought cabl use cabl android auto car perfectli work without glitchorigin mi cabl charg upto watt got rs watt charger want cabl car went check perform batteri charg app charg speed exactli half watt origin cabl go itit provid turbo charg recommend redmi note mobil phone provid turbo charg veri happi product,Positive,30411
8.4,work linux get model antennado say brand avail lesser priceeasi handlegreat productperfect workingspe perfectgreat design build connect rang packag featur linux support sinc vveri good use connect old pc internet tri lubuntu ubuntu work box didnt setup there extend cabl place comfort place get model antenna otherwis youll rang problem your directli line sight wifi routerth wifi dongl simpl plug play devic start catch avail network right plug usb port addit instal softwar requir signal strength good wonder would differ adapt lesser known brand avail much competit price henc star lessproseasi use portablecan connect mobil hotspot use pc budget friendlyless instal processno heat issu good coveragebest altern usb tether phone batteri may get damag long term run tetheringconsinternet connect speed vari time also depend modem cellular connectionissu occur instal via cd avail along product instal driver download tplink siteneed reconnect adapt everi time system turn onwil work softwar issu encount updat systemwork mesupport center wors call unattend time visit nearbi storeconclusionbrought ideal user dont need high speed internet usagea good altern usb tether budgep youtub video easili play without interruptionswifi connect great good result howev jitter problem existthi perfect devic connect wifi go itthi wifi adopt good workingpictur attachedsizedesign build qualiti packag softwar speed connect experi warranti size designth best part compact size sober eleg design big plu easi plug use add good sober designbuild qualityth build qualiti undoubtedli superb qualm held doesnt give cheap flimsi productlik feel good sturdi build qualitypackagingthi part also big plu item well cushion packag necessari item ensur damag could caus product transport ensur custom receiv someth damag intern alreadysoftwarethi actual good great part productth good part cd provid along manualth great part linux support given version onward bad reallyspeedit easili support net speed upto mbp practic speak test home easili support net speed mbp without sighon test found connect ghz network without issueconnectivitypleas mark feet metr multipli metr x get distanc feetit easili connect laptop phone metr across one room that feet mean even old bluetooth use connect ftso feet issu big plu found productexperiencefrom point view far except linux noncompat issu found flaw productso overal great productwarrantyit year assur atleast year tensionfre year contrari electron item today provid year warranti itemsbest adapt bought ever work nice seemless connect,Positive,"1,79,691"
8,good braid cabl type c devicegood qualiti product ambranesup cableasgood qualitygood productit goodgood qualiti price one issu unit order cabl connect phone android auto car cabl realli strong connect port realli well made alreadi micro usb cabl ambran still good shape connect phone car use cabl got connect well issu also connect charg port ye fast charg supportit qualiti good price main thing didnt ever thought cabl long good one charg power good also support fast chargingvalu money extra lengthgood work fineproduct qualiti goodgoodveri goodbought daughter old phonebrand new cabl charg alreadi repack request replacementi check green colour pastefungu insid micro usb connector clean alcohol start work againcheck amper charg speed got around mama bad came braid long cabl pretti impress pricec blame manufacturerbut qualiti issu distributor might store humid place,Positive,43994
